Subbasin	Wid2	D	Dep2	K	x1	y1	x2	y2
49	2.216615855	0.1	0.186499284	0.1	1152972.312	1035551.601	1152972.312	1035581.601
49	2.216615855	0.1	0.186499284	0.1	1152972.312	1035581.601	1153002.312	1035611.601
49	2.216615855	0.1	0.186499284	0.1	1153002.312	1035611.601	1153002.312	1035641.601
49	2.216615855	0.1	0.186499284	0.1	1153002.312	1035641.601	1153032.312	1035671.601
49	2.216615855	0.1	0.186499284	0.1	1153032.312	1035671.601	1153062.312	1035701.601
49	2.216615855	0.1	0.186499284	0.1	1153062.312	1035701.601	1153062.312	1035731.601
49	2.216615855	0.1	0.186499284	0.1	1153062.312	1035731.601	1153032.312	1035761.601
49	2.216615855	0.1	0.186499284	0.1	1153032.312	1035761.601	1153032.312	1035791.601
49	2.216615855	0.1	0.186499284	0.1	1153032.312	1035791.601	1153032.312	1035821.601
49	2.216615855	0.1	0.186499284	0.1	1153032.312	1035821.601	1153032.312	1035851.601
49	2.216615855	0.1	0.186499284	0.1	1153032.312	1035851.601	1153032.312	1035881.601
49	2.216615855	0.1	0.186499284	0.1	1153032.312	1035881.601	1153002.312	1035911.601
49	2.216615855	0.1	0.186499284	0.1	1153002.312	1035911.601	1153002.312	1035941.601
49	2.216615855	0.1	0.186499284	0.1	1153002.312	1035941.601	1153032.312	1035971.601
49	2.216615855	0.1	0.186499284	0.1	1153032.312	1035971.601	1153062.312	1036001.601
49	2.216615855	0.1	0.186499284	0.1	1153062.312	1036001.601	1153092.312	1036031.601
49	2.216615855	0.1	0.186499284	0.1	1153092.312	1036031.601	1153092.312	1036061.601
49	2.216615855	0.1	0.186499284	0.1	1153092.312	1036061.601	1153092.312	1036091.601
49	2.216615855	0.1	0.186499284	0.1	1153092.312	1036091.601	1153092.312	1036121.601
49	2.216615855	0.1	0.186499284	0.1	1153092.312	1036121.601	1153092.312	1036151.601
49	2.216615855	0.1	0.186499284	0.1	1153092.312	1036151.601	1153092.312	1036181.601
49	2.216615855	0.1	0.186499284	0.1	1153092.312	1036181.601	1153092.312	1036211.601
49	2.216615855	0.1	0.186499284	0.1	1153092.312	1036211.601	1153062.312	1036241.601
49	2.216615855	0.1	0.186499284	0.1	1153062.312	1036241.601	1153062.312	1036271.601
49	2.216615855	0.1	0.186499284	0.1	1153062.312	1036271.601	1153062.312	1036301.601
